cohort,policy,upsideBin,downsideBin,count
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D1,36
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D2,47
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D3,13
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D0,40
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D1,35
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D2,22
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D3,4
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D0,21
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D1,12
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D2,9
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D3,5
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D0,24
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D1,9
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D2,9
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D3,1
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D0,10
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D1,4
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D2,6
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D0,32
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D1,35
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D2,63
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D3,12
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D0,40
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D1,26
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D2,18
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D3,1
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D0,23
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D1,11
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D2,6
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D3,4
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D0,17
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D1,7
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D2,6
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D3,3
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D0,16
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D1,6
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D3,1
FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D4,1
FIRST_CLOSE_UP1,IMMEDIATE,U0,D0,3
FIRST_CLOSE_UP1,IMMEDIATE,U0,D1,5
FIRST_CLOSE_UP1,IMMEDIATE,U0,D2,12
FIRST_CLOSE_UP1,IMMEDIATE,U0,D3,2
FIRST_CLOSE_UP1,IMMEDIATE,U0,D4,4
FIRST_CLOSE_UP1,IMMEDIATE,U1,D0,17
FIRST_CLOSE_UP1,IMMEDIATE,U1,D1,10
FIRST_CLOSE_UP1,IMMEDIATE,U1,D2,5
FIRST_CLOSE_UP1,IMMEDIATE,U1,D3,2
FIRST_CLOSE_UP1,IMMEDIATE,U2,D0,26
FIRST_CLOSE_UP1,IMMEDIATE,U2,D1,2
FIRST_CLOSE_UP1,IMMEDIATE,U2,D2,10
FIRST_CLOSE_UP1,IMMEDIATE,U2,D4,1
FIRST_CLOSE_UP1,IMMEDIATE,U3,D0,35
FIRST_CLOSE_UP1,IMMEDIATE,U3,D1,3
FIRST_CLOSE_UP1,IMMEDIATE,U3,D2,9
FIRST_CLOSE_UP1,IMMEDIATE,U3,D3,1
FIRST_CLOSE_UP1,IMMEDIATE,U4,D0,37
FIRST_CLOSE_UP1,IMMEDIATE,U4,D1,7
FIRST_CLOSE_UP1,IMMEDIATE,U4,D2,2
FIRST_CLOSE_UP1,IMMEDIATE,U4,D4,1
FIRST_CLOSE_UP1,WAIT5,U0,D0,7
FIRST_CLOSE_UP1,WAIT5,U0,D1,16
FIRST_CLOSE_UP1,WAIT5,U0,D2,36
FIRST_CLOSE_UP1,WAIT5,U0,D3,13
FIRST_CLOSE_UP1,WAIT5,U0,D4,4
FIRST_CLOSE_UP1,WAIT5,U1,D0,17
FIRST_CLOSE_UP1,WAIT5,U1,D1,11
FIRST_CLOSE_UP1,WAIT5,U1,D2,11
FIRST_CLOSE_UP1,WAIT5,U1,D4,2
FIRST_CLOSE_UP1,WAIT5,U2,D0,7
FIRST_CLOSE_UP1,WAIT5,U2,D1,4
FIRST_CLOSE_UP1,WAIT5,U2,D2,10
FIRST_CLOSE_UP1,WAIT5,U2,D3,1
FIRST_CLOSE_UP1,WAIT5,U3,D0,13
FIRST_CLOSE_UP1,WAIT5,U3,D1,7
FIRST_CLOSE_UP1,WAIT5,U3,D2,9
FIRST_CLOSE_UP1,WAIT5,U3,D3,1
FIRST_CLOSE_UP1,WAIT5,U4,D0,15
FIRST_CLOSE_UP1,WAIT5,U4,D1,4
FIRST_CLOSE_UP1,WAIT5,U4,D2,3
FIRST_CLOSE_UP1,WAIT5,U4,D3,3
FIRST_CLOSE_UP1,WAIT10,U0,D0,10
FIRST_CLOSE_UP1,WAIT10,U0,D1,18
FIRST_CLOSE_UP1,WAIT10,U0,D2,41
FIRST_CLOSE_UP1,WAIT10,U0,D3,8
FIRST_CLOSE_UP1,WAIT10,U0,D4,6
FIRST_CLOSE_UP1,WAIT10,U1,D0,16
FIRST_CLOSE_UP1,WAIT10,U1,D1,9
FIRST_CLOSE_UP1,WAIT10,U1,D2,11
FIRST_CLOSE_UP1,WAIT10,U1,D3,3
FIRST_CLOSE_UP1,WAIT10,U2,D0,7
FIRST_CLOSE_UP1,WAIT10,U2,D1,6
FIRST_CLOSE_UP1,WAIT10,U2,D2,3
FIRST_CLOSE_UP1,WAIT10,U3,D0,13
FIRST_CLOSE_UP1,WAIT10,U3,D1,5
FIRST_CLOSE_UP1,WAIT10,U3,D2,9
FIRST_CLOSE_UP1,WAIT10,U3,D3,2
FIRST_CLOSE_UP1,WAIT10,U4,D0,18
FIRST_CLOSE_UP1,WAIT10,U4,D1,1
FIRST_CLOSE_UP1,WAIT10,U4,D2,5
FIRST_CLOSE_UP1,WAIT10,U4,D3,3
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U0,D0,10
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U0,D1,18
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U0,D2,41
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U0,D3,8
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U0,D4,6
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U1,D0,16
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U1,D1,9
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U1,D2,11
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U1,D3,3
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U2,D0,7
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U2,D1,6
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U2,D2,3
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U3,D0,13
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U3,D1,5
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U3,D2,9
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U3,D3,2
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U4,D0,18
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U4,D1,1
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U4,D2,5
FIRST_CLOSE_UP1,DIP_CLOSE_FALLBACK10,U4,D3,3
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U0,D0,7
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U0,D1,16
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U0,D2,36
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U0,D3,13
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U0,D4,4
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U1,D0,17
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U1,D1,11
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U1,D2,11
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U1,D4,2
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U2,D0,7
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U2,D1,4
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U2,D2,10
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U2,D3,1
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U3,D0,13
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U3,D1,7
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U3,D2,9
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U3,D3,1
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U4,D0,15
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U4,D1,4
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U4,D2,3
FIRST_CLOSE_UP1,OBSERVE5_DELAY_DIP10,U4,D3,3
FIRST_HIGH_TOUCH3,IMMEDIATE,U0,D2,14
FIRST_HIGH_TOUCH3,IMMEDIATE,U0,D3,5
FIRST_HIGH_TOUCH3,IMMEDIATE,U0,D4,8
FIRST_HIGH_TOUCH3,IMMEDIATE,U1,D0,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U1,D1,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U2,D0,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U2,D2,2
FIRST_HIGH_TOUCH3,IMMEDIATE,U3,D0,12
FIRST_HIGH_TOUCH3,IMMEDIATE,U3,D2,8
FIRST_HIGH_TOUCH3,IMMEDIATE,U3,D3,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U4,D0,26
FIRST_HIGH_TOUCH3,IMMEDIATE,U4,D1,5
FIRST_HIGH_TOUCH3,IMMEDIATE,U4,D2,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U4,D3,1
FIRST_HIGH_TOUCH3,IMMEDIATE,U4,D4,2
FIRST_HIGH_TOUCH3,WAIT5,U0,D0,1
FIRST_HIGH_TOUCH3,WAIT5,U0,D1,1
FIRST_HIGH_TOUCH3,WAIT5,U0,D2,14
FIRST_HIGH_TOUCH3,WAIT5,U0,D3,10
FIRST_HIGH_TOUCH3,WAIT5,U0,D4,5
FIRST_HIGH_TOUCH3,WAIT5,U1,D0,3
FIRST_HIGH_TOUCH3,WAIT5,U1,D2,4
FIRST_HIGH_TOUCH3,WAIT5,U1,D4,1
FIRST_HIGH_TOUCH3,WAIT5,U2,D0,2
FIRST_HIGH_TOUCH3,WAIT5,U2,D2,5
FIRST_HIGH_TOUCH3,WAIT5,U2,D3,1
FIRST_HIGH_TOUCH3,WAIT5,U3,D0,9
FIRST_HIGH_TOUCH3,WAIT5,U3,D1,1
FIRST_HIGH_TOUCH3,WAIT5,U3,D2,7
FIRST_HIGH_TOUCH3,WAIT5,U3,D3,1
FIRST_HIGH_TOUCH3,WAIT5,U4,D0,12
FIRST_HIGH_TOUCH3,WAIT5,U4,D1,3
FIRST_HIGH_TOUCH3,WAIT5,U4,D2,3
FIRST_HIGH_TOUCH3,WAIT5,U4,D3,4
FIRST_HIGH_TOUCH3,WAIT5,U4,D4,1
FIRST_HIGH_TOUCH3,WAIT10,U0,D0,3
FIRST_HIGH_TOUCH3,WAIT10,U0,D2,17
FIRST_HIGH_TOUCH3,WAIT10,U0,D3,5
FIRST_HIGH_TOUCH3,WAIT10,U0,D4,5
FIRST_HIGH_TOUCH3,WAIT10,U1,D0,2
FIRST_HIGH_TOUCH3,WAIT10,U1,D2,2
FIRST_HIGH_TOUCH3,WAIT10,U1,D3,3
FIRST_HIGH_TOUCH3,WAIT10,U2,D0,1
FIRST_HIGH_TOUCH3,WAIT10,U2,D2,1
FIRST_HIGH_TOUCH3,WAIT10,U3,D0,10
FIRST_HIGH_TOUCH3,WAIT10,U3,D2,9
FIRST_HIGH_TOUCH3,WAIT10,U3,D3,1
FIRST_HIGH_TOUCH3,WAIT10,U4,D0,21
FIRST_HIGH_TOUCH3,WAIT10,U4,D1,1
FIRST_HIGH_TOUCH3,WAIT10,U4,D2,2
FIRST_HIGH_TOUCH3,WAIT10,U4,D3,4
FIRST_HIGH_TOUCH3,WAIT10,U4,D4,1
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U0,D0,3
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U0,D2,17
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U0,D3,5
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U0,D4,5
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U1,D0,2
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U1,D2,3
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U1,D3,2
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U2,D0,1
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U2,D2,1
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U3,D0,10
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U3,D2,9
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U3,D3,1
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U4,D0,21
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U4,D1,1
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U4,D2,2
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U4,D3,4
FIRST_HIGH_TOUCH3,DIP_CLOSE_FALLBACK10,U4,D4,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U0,D0,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U0,D1,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U0,D2,14
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U0,D3,10
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U0,D4,5
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U1,D0,3
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U1,D2,3
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U1,D3,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U1,D4,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U2,D0,2
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U2,D2,5
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U2,D3,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U3,D0,9
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U3,D1,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U3,D2,7
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U3,D3,1
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U4,D0,12
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U4,D1,3
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U4,D2,3
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U4,D3,4
FIRST_HIGH_TOUCH3,OBSERVE5_DELAY_DIP10,U4,D4,1
NO_FIRST_CLOSED_DIP,IMMEDIATE,U0,D0,44
NO_FIRST_CLOSED_DIP,IMMEDIATE,U0,D1,36
NO_FIRST_CLOSED_DIP,IMMEDIATE,U0,D2,50
NO_FIRST_CLOSED_DIP,IMMEDIATE,U0,D3,8
NO_FIRST_CLOSED_DIP,IMMEDIATE,U0,D4,10
NO_FIRST_CLOSED_DIP,IMMEDIATE,U1,D0,75
NO_FIRST_CLOSED_DIP,IMMEDIATE,U1,D1,30
NO_FIRST_CLOSED_DIP,IMMEDIATE,U1,D2,23
NO_FIRST_CLOSED_DIP,IMMEDIATE,U1,D3,3
NO_FIRST_CLOSED_DIP,IMMEDIATE,U1,D4,1
NO_FIRST_CLOSED_DIP,IMMEDIATE,U2,D0,66
NO_FIRST_CLOSED_DIP,IMMEDIATE,U2,D1,10
NO_FIRST_CLOSED_DIP,IMMEDIATE,U2,D2,21
NO_FIRST_CLOSED_DIP,IMMEDIATE,U2,D3,3
NO_FIRST_CLOSED_DIP,IMMEDIATE,U2,D4,2
NO_FIRST_CLOSED_DIP,IMMEDIATE,U3,D0,60
NO_FIRST_CLOSED_DIP,IMMEDIATE,U3,D1,8
NO_FIRST_CLOSED_DIP,IMMEDIATE,U3,D2,15
NO_FIRST_CLOSED_DIP,IMMEDIATE,U3,D3,4
NO_FIRST_CLOSED_DIP,IMMEDIATE,U4,D0,58
NO_FIRST_CLOSED_DIP,IMMEDIATE,U4,D1,14
NO_FIRST_CLOSED_DIP,IMMEDIATE,U4,D2,5
NO_FIRST_CLOSED_DIP,IMMEDIATE,U4,D3,2
NO_FIRST_CLOSED_DIP,IMMEDIATE,U4,D4,2
NO_FIRST_CLOSED_DIP,WAIT5,U0,D0,55
NO_FIRST_CLOSED_DIP,WAIT5,U0,D1,59
NO_FIRST_CLOSED_DIP,WAIT5,U0,D2,93
NO_FIRST_CLOSED_DIP,WAIT5,U0,D3,20
NO_FIRST_CLOSED_DIP,WAIT5,U0,D4,11
NO_FIRST_CLOSED_DIP,WAIT5,U1,D0,70
NO_FIRST_CLOSED_DIP,WAIT5,U1,D1,26
NO_FIRST_CLOSED_DIP,WAIT5,U1,D2,27
NO_FIRST_CLOSED_DIP,WAIT5,U1,D3,2
NO_FIRST_CLOSED_DIP,WAIT5,U1,D4,3
NO_FIRST_CLOSED_DIP,WAIT5,U2,D0,25
NO_FIRST_CLOSED_DIP,WAIT5,U2,D1,10
NO_FIRST_CLOSED_DIP,WAIT5,U2,D2,21
NO_FIRST_CLOSED_DIP,WAIT5,U2,D3,2
NO_FIRST_CLOSED_DIP,WAIT5,U2,D4,1
NO_FIRST_CLOSED_DIP,WAIT5,U3,D0,34
NO_FIRST_CLOSED_DIP,WAIT5,U3,D1,17
NO_FIRST_CLOSED_DIP,WAIT5,U3,D2,14
NO_FIRST_CLOSED_DIP,WAIT5,U3,D3,4
NO_FIRST_CLOSED_DIP,WAIT5,U4,D0,39
NO_FIRST_CLOSED_DIP,WAIT5,U4,D1,7
NO_FIRST_CLOSED_DIP,WAIT5,U4,D2,5
NO_FIRST_CLOSED_DIP,WAIT5,U4,D3,4
NO_FIRST_CLOSED_DIP,WAIT5,U4,D4,1
NO_FIRST_CLOSED_DIP,WAIT10,U0,D0,65
NO_FIRST_CLOSED_DIP,WAIT10,U0,D1,67
NO_FIRST_CLOSED_DIP,WAIT10,U0,D2,91
NO_FIRST_CLOSED_DIP,WAIT10,U0,D3,18
NO_FIRST_CLOSED_DIP,WAIT10,U0,D4,11
NO_FIRST_CLOSED_DIP,WAIT10,U1,D0,58
NO_FIRST_CLOSED_DIP,WAIT10,U1,D1,27
NO_FIRST_CLOSED_DIP,WAIT10,U1,D2,24
NO_FIRST_CLOSED_DIP,WAIT10,U1,D3,3
NO_FIRST_CLOSED_DIP,WAIT10,U2,D0,29
NO_FIRST_CLOSED_DIP,WAIT10,U2,D1,17
NO_FIRST_CLOSED_DIP,WAIT10,U2,D2,13
NO_FIRST_CLOSED_DIP,WAIT10,U2,D3,3
NO_FIRST_CLOSED_DIP,WAIT10,U3,D0,33
NO_FIRST_CLOSED_DIP,WAIT10,U3,D1,10
NO_FIRST_CLOSED_DIP,WAIT10,U3,D2,18
NO_FIRST_CLOSED_DIP,WAIT10,U3,D3,3
NO_FIRST_CLOSED_DIP,WAIT10,U4,D0,43
NO_FIRST_CLOSED_DIP,WAIT10,U4,D1,3
NO_FIRST_CLOSED_DIP,WAIT10,U4,D2,7
NO_FIRST_CLOSED_DIP,WAIT10,U4,D3,5
NO_FIRST_CLOSED_DIP,WAIT10,U4,D4,2
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D0,65
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D1,67
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D2,91
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D3,18
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D4,11
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D0,58
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D1,27
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D2,24
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U1,D3,3
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D0,29
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D1,17
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D2,13
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U2,D3,3
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D0,33
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D1,10
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D2,18
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U3,D3,3
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D0,43
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D1,3
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D2,7
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D3,5
NO_FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U4,D4,2
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D0,55
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D1,59
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D2,93
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D3,20
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U0,D4,11
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D0,70
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D1,26
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D2,27
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D3,2
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U1,D4,3
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D0,25
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D1,10
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D2,21
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D3,2
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U2,D4,1
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D0,34
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D1,17
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D2,14
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U3,D3,4
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D0,39
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D1,7
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D2,5
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D3,4
NO_FIRST_CLOSED_DIP,OBSERVE5_DELAY_DIP10,U4,D4,1
