panel,cohort,N,policy,levelPct,preserved,knownLost,unknown,boundaryNoReferenceEntry,originalKnownWinners,originalUnknown,preservationLower,preservationUpper
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,IMMEDIATE,3,554,15,167,0,736,484,0.7527173913043478,0.9796195652173914
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,IMMEDIATE,5,289,6,104,0,399,774,0.7243107769423559,0.9849624060150376
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT5,1,765,41,374,0,1180,116,0.6483050847457628,0.9652542372881356
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT5,2,575,33,354,0,962,297,0.5977130977130977,0.9656964656964657
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT5,3,419,29,288,0,736,484,0.5692934782608695,0.9605978260869565
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT5,5,222,12,165,0,399,774,0.556390977443609,0.9699248120300752
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT10,1,706,44,430,0,1180,116,0.5983050847457627,0.9627118644067797
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT10,2,519,47,396,0,962,297,0.5395010395010394,0.9511434511434511
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT10,3,379,37,320,0,736,484,0.5149456521739131,0.9497282608695652
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,WAIT10,5,196,22,181,0,399,774,0.49122807017543857,0.9448621553884712
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,DIP_CLOSE_FALLBACK10,1,706,44,430,0,1180,116,0.5983050847457627,0.9627118644067797
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,DIP_CLOSE_FALLBACK10,2,519,47,396,0,962,297,0.5395010395010394,0.9511434511434511
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,DIP_CLOSE_FALLBACK10,3,379,37,320,0,736,484,0.5149456521739131,0.9497282608695652
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,DIP_CLOSE_FALLBACK10,5,196,22,181,0,399,774,0.49122807017543857,0.9448621553884712
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,OBSERVE5_DELAY_DIP10,1,765,41,374,0,1180,116,0.6483050847457628,0.9652542372881356
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,OBSERVE5_DELAY_DIP10,2,575,33,354,0,962,297,0.5977130977130977,0.9656964656964657
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,OBSERVE5_DELAY_DIP10,3,419,29,288,0,736,484,0.5692934782608695,0.9605978260869565
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,OBSERVE5_DELAY_DIP10,5,222,12,165,0,399,774,0.556390977443609,0.9699248120300752
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,IMMEDIATE,1,240,26,0,0,266,0,0.9022556390977443,0.9022556390977443
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,IMMEDIATE,2,183,19,0,0,202,0,0.905940594059406,0.905940594059406
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,IMMEDIATE,3,130,18,0,0,148,0,0.8783783783783784,0.8783783783783784
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,IMMEDIATE,5,69,6,0,0,75,0,0.92,0.92
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT5,1,223,43,0,0,266,0,0.8383458646616542,0.8383458646616542
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT5,2,168,34,0,0,202,0,0.8316831683168316,0.8316831683168316
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT5,3,118,30,0,0,148,0,0.7972972972972973,0.7972972972972973
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT5,5,63,12,0,0,75,0,0.84,0.84
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT10,1,219,47,0,0,266,0,0.8233082706766918,0.8233082706766918
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT10,2,151,51,0,0,202,0,0.7475247524752475,0.7475247524752475
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT10,3,107,41,0,0,148,0,0.722972972972973,0.722972972972973
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,WAIT10,5,53,22,0,0,75,0,0.7066666666666667,0.7066666666666667
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,DIP_CLOSE_FALLBACK10,1,222,44,0,0,266,0,0.8345864661654135,0.8345864661654135
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,DIP_CLOSE_FALLBACK10,2,156,46,0,0,202,0,0.7722772277227723,0.7722772277227723
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,DIP_CLOSE_FALLBACK10,3,112,36,0,0,148,0,0.7567567567567568,0.7567567567567568
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,DIP_CLOSE_FALLBACK10,5,54,21,0,0,75,0,0.72,0.72
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,OBSERVE5_DELAY_DIP10,1,220,46,0,0,266,0,0.8270676691729323,0.8270676691729323
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,OBSERVE5_DELAY_DIP10,2,163,39,0,0,202,0,0.806930693069307,0.806930693069307
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,OBSERVE5_DELAY_DIP10,3,113,35,0,0,148,0,0.7635135135135135,0.7635135135135135
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,ALL,363,OBSERVE5_DELAY_DIP10,5,62,13,0,0,75,0,0.8266666666666667,0.8266666666666667
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,IMMEDIATE,1,85,7,0,0,92,0,0.9239130434782609,0.9239130434782609
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,IMMEDIATE,2,63,2,0,0,65,0,0.9692307692307692,0.9692307692307692
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,IMMEDIATE,3,47,3,0,0,50,0,0.94,0.94
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,IMMEDIATE,5,24,0,0,0,24,0,1.0,1.0
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT5,1,90,2,0,0,92,0,0.9782608695652174,0.9782608695652174
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT5,2,64,1,0,0,65,0,0.9846153846153847,0.9846153846153847
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT5,3,49,1,0,0,50,0,0.98,0.98
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT5,5,24,0,0,0,24,0,1.0,1.0
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT10,1,87,5,0,0,92,0,0.9456521739130435,0.9456521739130435
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT10,2,59,6,0,0,65,0,0.9076923076923077,0.9076923076923077
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT10,3,44,6,0,0,50,0,0.88,0.88
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,WAIT10,5,23,1,0,0,24,0,0.9583333333333334,0.9583333333333334
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,DIP_CLOSE_FALLBACK10,1,90,2,0,0,92,0,0.9782608695652174,0.9782608695652174
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,DIP_CLOSE_FALLBACK10,2,64,1,0,0,65,0,0.9846153846153847,0.9846153846153847
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,DIP_CLOSE_FALLBACK10,3,49,1,0,0,50,0,0.98,0.98
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,DIP_CLOSE_FALLBACK10,5,24,0,0,0,24,0,1.0,1.0
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,OBSERVE5_DELAY_DIP10,1,87,5,0,0,92,0,0.9456521739130435,0.9456521739130435
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,OBSERVE5_DELAY_DIP10,2,59,6,0,0,65,0,0.9076923076923077,0.9076923076923077
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,OBSERVE5_DELAY_DIP10,3,44,6,0,0,50,0,0.88,0.88
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,FIRST_CLOSED_DIP,158,OBSERVE5_DELAY_DIP10,5,23,1,0,0,24,0,0.9583333333333334,0.9583333333333334
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,IMMEDIATE,1,155,19,0,0,174,0,0.8908045977011494,0.8908045977011494
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,IMMEDIATE,2,120,17,0,0,137,0,0.8759124087591241,0.8759124087591241
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,IMMEDIATE,3,83,15,0,0,98,0,0.8469387755102041,0.8469387755102041
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,IMMEDIATE,5,45,6,0,0,51,0,0.8823529411764706,0.8823529411764706
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT5,1,133,41,0,0,174,0,0.764367816091954,0.764367816091954
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT5,2,104,33,0,0,137,0,0.7591240875912408,0.7591240875912408
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT5,3,69,29,0,0,98,0,0.7040816326530612,0.7040816326530612
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT5,5,39,12,0,0,51,0,0.7647058823529411,0.7647058823529411
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT10,1,132,42,0,0,174,0,0.7586206896551724,0.7586206896551724
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT10,2,92,45,0,0,137,0,0.6715328467153284,0.6715328467153284
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT10,3,63,35,0,0,98,0,0.6428571428571429,0.6428571428571429
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,WAIT10,5,30,21,0,0,51,0,0.5882352941176471,0.5882352941176471
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,DIP_CLOSE_FALLBACK10,1,132,42,0,0,174,0,0.7586206896551724,0.7586206896551724
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,DIP_CLOSE_FALLBACK10,2,92,45,0,0,137,0,0.6715328467153284,0.6715328467153284
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,DIP_CLOSE_FALLBACK10,3,63,35,0,0,98,0,0.6428571428571429,0.6428571428571429
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,DIP_CLOSE_FALLBACK10,5,30,21,0,0,51,0,0.5882352941176471,0.5882352941176471
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,OBSERVE5_DELAY_DIP10,1,133,41,0,0,174,0,0.764367816091954,0.764367816091954
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,OBSERVE5_DELAY_DIP10,2,104,33,0,0,137,0,0.7591240875912408,0.7591240875912408
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,OBSERVE5_DELAY_DIP10,3,69,29,0,0,98,0,0.7040816326530612,0.7040816326530612
COMPLETE_SAVED_SESSION_PAIRED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,205,OBSERVE5_DELAY_DIP10,5,39,12,0,0,51,0,0.7647058823529411,0.7647058823529411
